mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
58.1167453289032,41.447480994431345,0.1807168483734131,0.02342142424737113,,2,100,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-36.59313837920108,-54.73819336182922,-53.17909729651228,-86.00980442651151,-59.43416051322513,-57.99087879545584,15.99212152455452,2
108.84680552482605,80.18466452527228,0.27659454345703127,0.025555257838313087,,2,200,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-36.08141510387649,-55.0439141357191,-53.08820934155552,-87.6027070836534,-57.95720102075963,-57.954689337112825,16.670934755497715,1
55.07345652580261,41.69254410284608,0.17380495071411134,0.013677091557750997,,5,100,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-37.686014783796594,-58.882411948136664,-56.40526832072319,-90.05154005999364,-58.14641243907627,-60.23432951034526,16.842454276945084,6
110.08892927169799,82.59976581450579,0.2536920070648193,0.030254483437140114,,5,200,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-37.33844904507074,-58.90048538414138,-56.61752404898587,-90.3326958806334,-57.36128991007124,-60.11008885378053,17.047994604525094,5
11.07274899482727,6.636494152812413,0.08299436569213867,0.0077385016635543235,5,2,100,"{'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-40.72019254360802,-63.59478213842616,-64.77153259902691,-86.3830755195157,-63.44459831633294,-63.78283622338195,14.448416103411274,10
21.920575523376463,13.455693761251819,0.1095456600189209,0.014112221602275002,5,2,200,"{'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-40.85513134830127,-63.61012346934452,-64.71863041049447,-85.66292356167247,-62.601621053657304,-63.489685968694005,14.18653585019352,9
11.673310899734497,7.101334015611643,0.08779187202453613,0.012588719150610524,5,5,100,"{'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-42.19937900659012,-67.00339318829919,-67.08206202918824,-87.73243596837656,-63.211709671228874,-65.44579597273659,14.47193726738207,12
22.537748336791992,13.700849394576172,0.10734467506408692,0.006557206060492897,5,5,200,"{'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-42.109303579037565,-66.84829923656667,-67.05712410656956,-87.90093729705565,-62.80617738518673,-65.34436832088323,14.5623129436308,11
19.982973289489745,12.254548290675976,0.09388294219970703,0.008214032092971762,10,2,100,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-36.035321082904986,-54.41206509260128,-54.66410590201999,-87.4444585260522,-58.28633304568377,-58.16845672985245,16.573260526643768,4
39.542508888244626,24.252270843654593,0.12637705802917482,0.028647415205721696,10,2,200,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-36.126872939889616,-54.559083016639455,-54.680536167798536,-88.24889832791013,-57.08463504331178,-58.140005099109906,16.83465576199703,3
19.797450971603393,12.286390979012657,0.08734631538391113,0.007842357123025197,10,5,100,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-38.37858005433631,-57.84551267773334,-57.43213929834569,-89.95308139866307,-58.62665392826334,-60.447193471468346,16.59394334915437,8
26.39964656829834,11.900946530132718,0.07802553176879883,0.020585926309957415,10,5,200,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-37.48241604140912,-58.312305995189384,-57.43574944260282,-90.43662690352404,-57.593202650465244,-60.25206020663812,17.01956837475248,7
