metodo,tipo,MAE,RMSE,R2,MedAE,selecionado
random_forest,modelo,78.11077940680217,705.1093046698053,0.989396010210485,0.15532240695765903,False
ridge,modelo,57.598445233223636,446.15211333459274,0.9957545638024192,2.9397752661111554,True
mean,baseline,1231.7763788184839,6855.99593330357,-0.0025303108796856932,521.5276541869931,False
median,baseline,866.056853753725,6901.890235377084,-0.015997187806181312,0.3537974610426795,False
constant_zero,baseline,866.0598812993576,6901.891312409073,-0.015997504896578363,0.3623806943198345,False
media_por_grupo,baseline,410.1199541285884,3168.5053578520624,0.7858760229569757,0.5074423177661366,False
persistencia,baseline,102.74358930613147,892.8423637331135,0.9829977660947189,0.16016373215556579,False
persistencia_1passo,baseline,54.23304303377824,463.64021701579225,0.9954152188448536,0.07927309398757451,False
