nivel_1,n,mae,mae_persistencia,emissao_media,share_erro_pct,share_emissao_pct
Mudança de Uso da Terra e Floresta,108,2426.3599367490756,2537.2924351851852,9069.835174074075,23.689918453922232,15.340275162251798
Agropecuária,612,1241.6376503184968,1140.628546607843,8188.371376003267,68.6959097422258,78.47999254937362
Resíduos ,36,163.3978859096011,147.42710919444448,2211.320130777778,0.5317818589229437,1.246706201634321
Processos Industriais,144,41.47718953018332,10.711236574236109,135.5250253584028,0.5399535453833948,0.3056271902730643
Energia,3852,18.78748501266381,16.926568728802525,76.70800019637106,6.542436399545639,4.62739889646717
