mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3548566818237305,0.152319190707087,0.02733912467956543,0.0007855003014288465,0.1,{'model__alpha': 0.1},-22.624445507130275,-35.33996598323074,-45.086353122380885,-55.12542166342666,-47.455178535851225,-41.12627296240395,11.202789051181389,1
0.35643677711486815,0.16456408238038236,0.026143646240234374,0.003208866544163977,1.0,{'model__alpha': 1.0},-22.735009173840137,-35.42052520431929,-44.995770748322315,-55.04684555647985,-47.50615138030725,-41.140860412653765,11.137785061135768,2
0.3493152141571045,0.15809698963960406,0.023990869522094727,0.0008232491553630798,10.0,{'model__alpha': 10.0},-24.532337849494883,-36.3412822185748,-44.25161896039389,-54.382513993781544,-47.99425035348414,-41.500400675145855,10.29776469488674,3
0.32913923263549805,0.12402608781342349,0.023006582260131837,0.0035201954574133505,100.0,{'model__alpha': 100.0},-42.159355896891306,-44.160418419397104,-44.18579132779124,-54.29549744653792,-50.598433004206576,-47.079899218964826,4.594690696637669,4
