ano,mae,mae_persistencia,emissao_media,pred_media
2011,112.93493769840326,90.401914352589,1259.3687729479946,1205.5885046458516
2012,150.38890510957754,121.91989200334692,1251.6347272221992,1205.5885046458516
2013,177.97804885336646,165.10021712009282,1331.1126435884908,1205.5885046458516
2014,191.81394594532966,180.14198175625725,1322.7976506143066,1205.5885046458516
2015,190.32558488958688,181.7454432313289,1330.5660632024462,1205.5885046458516
2016,267.0406151402058,262.03927294286393,1376.8824939831445,1205.5885046458516
2017,301.174080089766,287.19037656299656,1386.6316365264963,1205.5885046458516
2018,299.4175027151032,291.47700906453065,1366.5676897799624,1205.5885046458516
2019,403.9141572436864,397.5278139225041,1468.0516290100193,1205.5885046458516
